subject_id,r_score
654754,0.8211510635908923
151627,0.6317373527561757
205725,0.6226460445551109
193239,0.6076035220891168
113619,0.5850131335456751
702133,0.5796663619405917
788876,0.5783394767539431
115320,0.5749680664435657
110411,0.5749585795604901
151223,0.5730536793074616
149539,0.5599414432669725
105115,0.5582657467014143
136833,0.5572519961966501
103414,0.5400387844855319
133827,0.534676533153
175439,0.527293394253273
932554,0.5248763333888875
135932,0.519820163066475
298051,0.5176225048272067
857263,0.5140123066905915
984472,0.5080045028352653
992774,0.48725423033870496
158540,0.48306163208614894
448347,0.4563902009275971
885975,0.45539279805660027
214423,0.4491380211004975
581349,0.4086568357313919
